treatment,commun,site,transect,altitude,slope,quad,trans.pair,trans.no,antmed,antros,antumb,arnlat,callep,caspar,dipsit,epiana,erigla,erygra,hietri,leppyr,luepec,luparc,mictol,penpro,potfla,pusocc,ranesc,solmul,tonlya,valsti,verwor,agrcap,danint,fesbra,poaalp,vahatr,carhas,carnar,carnig,carspe,schacu,jundru,luzpip,aulpal,braspp,bryosp1,bryosp2,bucsud,cerpur,dicoly,dicpal,ditspp,meilya,nipelo,nipmut,nippyg,phifon,pohnut,polpil,polspp,rhysqu,rhyrob,scioed,strcon,barhat,lopven,crust,vacmem,vacova,casmer,gauhum,kalmic,phyemp,phygla,phyint,salbar,salcom,sorsit,abilas,tsumer,soil,litter,rock
near,phy/vac/cas,1,TM-3,1581.1,16,5,2,3,,,,,,,,,,,0.5,,30,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,65,,
near,phy/vac/cas,1,TM-3,1581.1,16,6,2,3,,,,,,,,,,,,,20,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,70,,
near,phy/vac/cas,1,TM-3,1581.1,16,7,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,100,,
near,phy/vac/cas,1,TM-3,1581.1,16,8,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
near,phy/vac/cas,1,TM-3,1581.1,16,9,2,3,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
near,phy/vac/cas,1,TM-3,1581.1,16,10,2,3,,,,,,,,,0.5,,,,10,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
far,phy/vac/cas,1,TM-4,1581,8,1,2,4,,,,,1,,,,1,,0.5,,5,,,,,,,,,,,,10,,,,,,0.5,,,,,0.5,,1,10,,,,,,,0.5,,,,,,0.5,,,,,,,,,1,,,1,25,,,,,,,,,5,
far,phy/vac/cas,1,TM-4,1581,8,2,2,4,,,,,0.5,,,,,,0.5,,30,,,,,,,,,,,,1,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,5,,,,,,,,,5,,,1,30,,,,,,,,,,
far,phy/vac/cas,1,TM-4,1581,8,3,2,4,,,,,0.5,,,,,,0.5,,50,,,,,,,,,,,,1,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,5,,,,,,,,,10,,,5,15,,,,,,,,,1,
far,phy/vac/cas,1,TM-4,1581,8,4,2,4,,,,,,,,,,,1,,30,,,,,,,,,,,,25,,,,,,,,,,,,,1,,,,,,,,,,,,,,15,,,,,,,,,30,,,1,10,,,,,,,,,5,
far,phy/vac/cas,1,TM-4,1581,8,5,2,4,,,,,,,,,,,,,45,,,,,,,,,,,,10,,,,,,,,,,,,,1,,,,,,,,,,,,,,10,,,,,,,,,40,1,,5,5,,,,,,5,,,5,
far,phy/vac/cas,1,TM-4,1581,8,6,2,4,,,,,,,,,,,,,10,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,20,40,,0.5,60,,,,,,,,,1,
far,phy/vac/cas,1,TM-4,1581,8,7,2,4,,,,,,,,,0.5,,,,20,,,,,,,,,,,,1,,,0.5,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,35,60,,1,25,,,,,,,,,1,
far,phy/vac/cas,1,TM-4,1581,8,8,2,4,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,25,50,,0.5,45,,,,,,,,,5,
far,phy/vac/cas,1,TM-4,1581,8,9,2,4,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,25,30,,0.5,50,,,,,,60,,,15,
far,phy/vac/cas,1,TM-4,1581,8,10,2,4,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,0.5,,,,,,,,,,,,,,,30,15,,0.5,90,,,,,,5,,,0.5,
near,vac/phy/cas,1,TM-5,1587.8,11,1,3,5,,,,,0.5,,,,0.5,,0.5,,20,,,,,,,,,,,0.5,,,,0.5,,,1,,,,,,,,,0.5,,,1,,,,,,,,,,,0.5,,,,,,,10,15,,1,15,,,,,,0.5,,10,,
near,vac/phy/cas,1,TM-5,1587.8,11,2,3,5,,,,,,,0.5,,0.5,,0.5,,25,,,,,,,,,,,0.5,,,,0.5,,,0.5,,,,,,,,,,,,0.5,,,0.5,,,,,,,,1,,,,,,,5,10,,0.5,20,,,,,,0.5,0.5,10,,
near,vac/phy/cas,1,TM-5,1587.8,11,3,3,5,,,,,,,5,,0.5,,,,15,,,,,,,,,,,0.5,,,,0.5,,,,0.5,,,,,0.5,,,,,,0.5,,,,1,,,,,,,,,,,,,,25,10,,10,70,,,,,,,5,10,,
near,vac/phy/cas,1,TM-5,1587.8,11,4,3,5,,,,,,,,,0.5,,0.5,,10,,,,,,,,,,,0.5,0.5,,,0.5,,,,0.5,,,,,5,,,,,,0.5,,,5,,,,,,,,0.5,,,,,10,,10,20,,1,20,,,,,,5,1,10,,
near,vac/phy/cas,1,TM-5,1587.8,11,5,3,5,,,,,0.5,,1,,,,0.5,,5,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,1,,,0.5,,,0.5,,,1,,,,,,,,1,,,,,10,,5,5,,0.5,25,,,,,,0.5,,,,
near,vac/phy/cas,1,TM-5,1587.8,11,6,3,5,,,,,0.5,,0.5,,1,,,,15,,,,,,,,,,,0.5,,,,0.5,,,0.5,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,25,,5,10,,1,30,,,,,,1,,,,
near,vac/phy/cas,1,TM-5,1587.8,11,7,3,5,,,,,,,5,,0.5,,0.5,,15,,,,,,,,,,,0.5,,,,0.5,,,0.5,,,,,,,,,,,,1,,,10,,,,,,,,,,,,,15,,15,5,,1,25,,,,,,1,,,,
near,vac/phy/cas,1,TM-5,1587.8,11,8,3,5,,,,,,,,,,,0.5,,15,,,,,,,,,,,0.5,,,,0.5,,,0.5,,,,,,,,,,,,1,,,10,,,,,,,,,,,,0.5,10,,15,10,,5,20,,,,,,,,,,
near,vac/phy/cas,1,TM-5,1587.8,11,9,3,5,,,,,,,,,0.5,,1,,15,,,,,,,,,,,0.5,0.5,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,15,15,,10,30,,,,,,,,15,,
near,vac/phy/cas,1,TM-5,1587.8,11,10,3,5,,,,,,,1,,,,5,,40,,,,,,,,,,,5,,,,,,,0.5,,,,,,,,,,,,0.5,,,1,,,,,,,,,,,,,,,20,10,,,30,,,,,,0.5,10,5,,
far,phy/vac/cas,1,TM-6,1588,11,1,3,6,,,,,15,,,,0.5,,0.5,,1,,,,5,,,,,,0.5,,1,,,5,,,,,,,,,,,,,,,1,,,20,,,,,,,,,,,1,,,,5,70,,,35,,,,,,,,,,
far,phy/vac/cas,1,TM-6,1588,11,2,3,6,,,,,10,,,,0.5,,,,1,,,,0.5,,,,,,0.5,,5,,,5,,,,,,,,1,0.5,,,,,,,,,5,,,,,,,0.5,,,,0.5,,,,10,5,,5,20,,,,,,0.5,,,5,
far,phy/vac/cas,1,TM-6,1588,11,3,3,6,,,,,10,,,,0.5,,0.5,,0.5,,,,5,,,,,,0.5,,25,,,1,,,,1,,,,10,1,,,,,,0.5,,,1,,,,,,,,,,,,1,,,,,,,10,,,1,,,,,,,
far,phy/vac/cas,1,TM-6,1588,11,4,3,6,,,,,15,,,,0.5,,0.5,,,,,,1,,,,,,1,,30,,,0.5,,,,,,,,25,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,1,,,,,,,,,,
far,phy/vac/cas,1,TM-6,1588,11,5,3,6,,,,,10,1,,,1,,0.5,5,,,,,5,,,,,,1,0.5,30,,,0.5,,,,,,,,10,,,,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,30,,,,,,,
far,phy/vac/cas,1,TM-6,1588,11,6,3,6,,,,,15,,,,,,,5,,,,,10,,,,,,,0.5,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,15,,,30,,,,,,,
